,product,rating,rating_count,price,product_url,image_url
0,Men's Zip Up Hoodie Heavyweight Winter Sweatshirt Fleece Sherpa Lined Warm Jacket  ,4.5 out of 5 stars,"6,249",$ 42.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4ODU0NTUyOTE3Mjg1MzY6MTY2MTUyODAwNjpzcF9hdGZfbmV4dDoyMDAwOTAyNDcyMDAxNTE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FHoodie-Heavyweight-Winter-Sweatshirt-Fleece%2Fdp%2FB08YR1QTPB%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1661528006%26sr%3D8-49-spons%26psc%3D1,https://m.media-amazon.com/images/I/71pYNEUNjpL._AC_UL320_.jpg
1,MOERDENG Women's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windbreaker Hooded Raincoat Jacket  ,4.5 out of 5 stars,"25,268",$ 46.74,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4ODU0NTUyOTE3Mjg1MzY6MTY2MTUyODAwNjpzcF9hdGZfbmV4dDoyMDAxMDEwODEwNTMyODE6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FMOERDENG-Waterproof-Mountain-Windbreaker-Raincoat%2Fdp%2FB08FX3BQ6P%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1661528006%26smid%3DA2O6VI746FE05N%26sr%3D8-50-spons%26psc%3D1,https://m.media-amazon.com/images/I/615rv7aoA+L._AC_UL320_.jpg
2,JACKETOWN Men's Zip Up Hoodie Heavyweight Fleece Lined Jacket Wool Warm Thick Winter Coat Sweatshirt  ,5.0 out of 5 stars,1,$ 42.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4ODU0NTUyOTE3Mjg1MzY6MTY2MTUyODAwNjpzcF9hdGZfbmV4dDoyMDAwNzg1MTg4MTgzOTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FJACKETOWN-jackets-Heavyweight-Sweatshirts-652-Grey%2Fdp%2FB09Z7X5GDS%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1661528006%26sr%3D8-51-spons%26psc%3D1,https://m.media-amazon.com/images/I/81Z8GeA4LfL._AC_UL320_.jpg
3,EKLENTSON Men's Cotton Lightweight Multi Pockets Zip Front Stand Collar Military Jackets Windbreaker  ,4.5 out of 5 stars,"3,586",$ 49.98,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4ODU0NTUyOTE3Mjg1MzY6MTY2MTUyODAwNjpzcF9hdGZfbmV4dDoyMDAwMzc4NDY5OTQ5OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FEKLENTSON-Military-Jackets-Bomber-Jacket%2Fdp%2FB07GB7WZR5%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1661528006%26sr%3D8-52-spons%26psc%3D1%26smid%3DA3HTMSJMNP2EUL,https://m.media-amazon.com/images/I/71d1QfIK0IL._AC_UL320_.jpg
4,HTHLVMD Men’s Military Soft Shell Tactical Jacket Outdoor Sports Hunting Army Waterproof Outerwear Coat  ,5.0 out of 5 stars,1,$ 69.99,https://amazon.com/HTHLVMD-Military-Tactical-Jackets-Insulated/dp/B09P8PXSPB/ref=sr_1_53?keywords=winter+jacket&qid=1661528006&sr=8-53,https://m.media-amazon.com/images/I/71I8eO2cm6L._AC_UL320_.jpg
5,Columbia Women's Heavenly Long Hooded Jacket  ,4.7 out of 5 stars,"7,852",$ 91.19,https://amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N48I4ZV/ref=sr_1_54?keywords=winter+jacket&qid=1661528006&sr=8-54,https://m.media-amazon.com/images/I/61Nwl6ObmUS._AC_UL320_.jpg
6,"Columbia Girls’ Nordic Strider Jacket, Thermal Reflective Warmth  ",4.8 out of 5 stars,521,$ 69.99,https://amazon.com/Columbia-Strider-Waterproof-Thermal-Reflective/dp/B0814BQ9RG/ref=sr_1_55?keywords=winter+jacket&qid=1661528006&sr=8-55,https://m.media-amazon.com/images/I/71VE7hiI7SS._AC_UL320_.jpg
7,CRYSULLY Men's Military Tactical Sport Warm Fleece Hooded Outdoor Adventure Jacket Coats TJ2  ,4.3 out of 5 stars,"4,016",$ 43.98,https://amazon.com/CRYSULLY-Winter-Travelling-Fatigue-Outdoors/dp/B07GBMWK5R/ref=sr_1_57?keywords=winter+jacket&qid=1661528006&sr=8-57,https://m.media-amazon.com/images/I/61YvKNLpCJL._AC_UL320_.jpg
8,Tommy Hilfiger Men's Hooded Puffer Jacket  ,4.6 out of 5 stars,"7,603",$ 69.80,https://amazon.com/Tommy-Hilfiger-Classic-Hooded-Midnight/dp/B01L0B0BBK/ref=sr_1_58?keywords=winter+jacket&qid=1661528006&sr=8-58,https://m.media-amazon.com/images/I/71q5KwNtuiL._AC_UL320_.jpg
9,GAMISOTE Womens Fuzzy Fleece Jacket Zip Up Oversized Winter Warm Sweatshirt Hoodies  ,5.0 out of 5 stars,4,$ 28.99,https://amazon.com/Womens-Casual-Sleeve-Sherpa-Outwear/dp/B0B1HN48TT/ref=sr_1_59?keywords=winter+jacket&qid=1661528006&sr=8-59,https://m.media-amazon.com/images/I/71wK+HLyoEL._AC_UL320_.jpg
10,Columbia Women's Benton Springs II Long Hoodie  ,4.5 out of 5 stars,"3,380",$ 66.54,https://amazon.com/Columbia-Womens-Benton-Springs-Hoodie/dp/B0815H42Z2/ref=sr_1_60?keywords=winter+jacket&qid=1661528006&sr=8-60,https://m.media-amazon.com/images/I/61s8vM7R7IL._AC_UL320_.jpg
